Altium Designer Pick and Place Locations
E:\Documents\Balancing-Robot\AltiumProject\ControlBoard\OUTPUT\Gerber+Drill\Pick Place for ControlBoardV6.2.csv

========================================================================================================================
File Design Information:

Date:       15/01/22
Time:       20:40
Revision:   e572f4ad504f9f2f3aecb240a5ba9e3ea76caf83
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R8","12k","TopLayer","RES_0603_1608","1340.000","1730.000","0","RES 12K OHM 5% 1/10W 0603"
"R7","12k","TopLayer","RES_0603_1608","2660.000","1720.000","180","RES 12K OHM 5% 1/10W 0603"
"R6","","TopLayer","0805","200.000","1602.000","90","Resistor"
"R5","1k","BottomLayer","RES_0603_1608","1370.000","750.000","90","RES SMD 1K OHM 1% 1/4W 0603"
"R4","12k","TopLayer","RES_0603_1608","2930.000","840.000","0","RES 12K OHM 5% 1/10W 0603"
"R3","12k","TopLayer","RES_0603_1608","2930.000","920.000","0","RES 12K OHM 5% 1/10W 0603"
"Q2","S8050","TopLayer","SOT95P240X115-3N","2750.000","880.000","180","Transistor"
"Q1","S8050","TopLayer","SOT95P240X115-3N","3110.000","880.000","0","Transistor"
"MD1","ESP32-WROOM-32D","TopLayer","FP-ESP32-WROOM-32D-MFG","2000.000","1289.902","0","WIFI MODULE 32MBITS SPI FLASH"
"LS1","KXG1205","TopLayer","BUZZER","1047.953","660.000","270",""
"L4","WS2812B","TopLayer","WS2812B","3730.000","1828.769","180",""
"L3","WS2812B","TopLayer","WS2812B","3730.000","100.000","180",""
"L2","WS2812B","TopLayer","WS2812B","195.664","100.000","180",""
"L1","WS2812B","TopLayer","WS2812B","195.664","1828.769","0",""
"J7","IRREMOTE_HDR","TopLayer","IRremote_guarreta","2820.000","90.000","270","CONN HDR 3POS 0.1 GOLD PCB"
"J6","IMU_10DOF_HDR","BottomLayer","IMU_GUARRETA","1950.000","100.000","270","CONN HDR 10POS 0.1 TIN PCB"
"J5","SSD1306_OLED_HDR","TopLayer","OLED_guarreta","1950.000","300.000","270","CONN HDR 4POS 0.1 TIN PCB"
"J3","PIN HEADER 4x1","TopLayer","HDRV4W50P0X200_1X4_800X200X525P","3549.370","290.000","0","Connector"
"J2","PIN HEADER 4x1","TopLayer","HDRV4W50P0X200_1X4_800X200X525P","400.630","290.000","0","Connector"
"J1","USB Micro B 2.0","TopLayer","AMPHENOL_10103594-0001LF","3340.000","1785.275","180","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole"
"D3","Blue","TopLayer","LED_0603_1608_BLUE","2460.000","740.000","0","LED BLUE 0603 SMD"
"D1","USBLC6-2SC6","TopLayer","STM-SOT23-6L_V","3340.000","1550.000","90","Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel"
"C9","100nF","BottomLayer","FP-GRM18-0_1-MFG","2720.000","180.000","180","CAP CER 0.1UF 6.3V X7R 0603"
"C8","22uF","TopLayer","CAP_0603_1608","1600.000","220.000","180","CAP CER 22UF 4V X5R 0603"
"C7","100nF","TopLayer","FP-GRM18-0_1-MFG","1600.000","290.000","0","CAP CER 0.1UF 6.3V X7R 0603"
"C6","100nF","BottomLayer","FP-GRM18-0_1-MFG","1860.000","210.000","180","CAP CER 0.1UF 6.3V X7R 0603"
"C5","ALUM 100uF","TopLayer","CAP_ALSMD_POLY_5.3MM_H6.1MM","260.000","1330.000","180","CAP ALUM 100UF 4V 2000H"
"C4","ALUM 100uF","TopLayer","CAP_ALSMD_POLY_5.3MM_H6.1MM","3680.000","1330.000","0","CAP ALUM 100UF 4V 2000H"
"C3","1µF","TopLayer","CAP_0603_1608","3060.000","723.426","270","CAP CER 0603 1UF 16V X7R 10%"
"C2","0.1µF","TopLayer","FP-C0603C-CF-MFG","3140.000","1040.000","90","CAP CER 0.1UF 50V X7R 0603"
"C1","ALUM 100uF","TopLayer","CAP_ALSMD_POLY_5.3MM_H6.1MM","1290.000","1490.000","270","CAP ALUM 100UF 4V 2000H"
